customer_city,total_orders,on_time_count,on_time_pct,avg_review_score,review_count,lat,lng
paicandu,10,10,100.0,4.7,10,-23.45741356415867,-52.041015330656585
girua,10,9,90.0,4.1,10,-28.02957634706686,-54.34965640191604
dom pedrito,10,9,90.0,4.1,10,-30.979123341411878,-54.66997677388248
portao,10,10,100.0,4.2,10,-29.69358360611529,-51.23371218074794
auriflama,10,10,100.0,4.6,10,-20.685083174259976,-50.55462075520381
paraibuna,10,9,90.0,4.4,10,-23.39314863042592,-45.660762194770186
paraiso do tocantins,10,10,100.0,4.4,10,-10.174387809427405,-48.88871492402186
resplendor,10,10,100.0,3.9,10,-19.32488535792776,-41.249234673200206
monte aprazivel,10,10,100.0,4.0,10,-20.770308684808267,-49.711343188473656
itamonte,10,10,100.0,4.3,10,-22.285425563590607,-44.86708746307188
regente feijo,10,10,100.0,4.7,10,-22.221308527237074,-51.303483211236866
palotina,10,9,90.0,4.7,10,-24.28579720485287,-53.837677556703355
taguai,10,10,100.0,4.4,10,-23.45351669470917,-49.40551649651974
morada nova,10,10,100.0,4.0,10,-5.095938435414265,-38.37670740596278
itai,10,10,100.0,3.7,10,-23.418490700429288,-49.090474807228354
querencia,10,10,100.0,4.4,10,-12.570278743784362,-52.24324105529711
antonina,10,10,100.0,4.625,8,-25.43470443919635,-48.712753541824284
pradopolis,10,10,100.0,4.7,10,-21.359773188999835,-48.074079579404426
goiatuba,10,9,90.0,3.6,10,-18.010414587983583,-49.379212135853756
biritiba-mirim,10,10,100.0,4.9,10,-23.574570581031892,-46.040097597586545
itajobi,10,10,100.0,4.2,10,-21.31499774715289,-49.055417305075984
caico,10,9,90.0,4.6,10,-6.4643598376771605,-37.093658603636
santa teresa,10,6,60.0,3.6,10,-19.94269719449894,-40.60634878698871
caconde,10,10,100.0,4.2,10,-21.528683722343338,-46.64505089436829
carpina,10,8,80.0,4.1,10,-7.845769238796547,-35.25337412701015
aimores,10,9,90.0,4.1,10,-19.501259675907107,-41.071023646550685
caetite,10,10,100.0,3.2,10,-14.063922388006693,-42.48750601198863
carmo do cajuru,10,10,100.0,4.1,10,-20.2690173748538,-44.822366699776936
aguas da prata,10,10,100.0,4.9,10,-21.939687492514494,-46.713331769849546
julio de castilhos,10,9,90.0,4.1,10,-29.23184260106605,-53.678925668176646
capinzal,10,9,90.0,3.7,10,-27.3518641191639,-51.60580689056575
catu,10,6,60.0,3.1,10,-12.363840993783475,-38.38186888846312
capinopolis,10,10,100.0,4.3,10,-18.682870239801783,-49.570117076316386
lagoa da prata,10,10,100.0,4.8,10,-20.024064772425362,-45.537189813602396
santo amaro,10,8,80.0,3.6,10,-12.252349064379661,-38.841546118947434
campina verde,10,10,100.0,4.9,10,-19.53430181412056,-49.50209456509559
campo verde,10,8,80.0,3.9,10,-15.55075630136651,-55.17606019140091
xaxim,10,8,80.0,4.3,10,-26.959436655053853,-52.53171511177201
campo formoso,10,9,90.0,3.7,10,-10.504091563927071,-40.32610420270958
castilho,10,10,100.0,4.3,10,-20.866847159290902,-51.49176549174563
tapejara,10,10,100.0,4.7,10,-27.06693726262369,-52.20949029337351
salesopolis,10,9,90.0,3.6,10,-23.531371409866033,-45.84885759253946
buritama,9,7,77.78,3.5555555555555554,9,-21.067287508771535,-50.14440187114213
valente,9,7,77.78,4.777777777777778,9,-11.410907884755225,-39.462797775734366
